player_name,primary_position,primary_competition,sub_group,fm_role,total_events,role_fit_score,role_fit_rank,pass_completion_rate_adj,pressure_pass_rate_adj,broad_position,avg_carry_dist_adj,avg_pass_length_adj,progressive_pass_rate_adj,duel_win_rate_adj,duel_per_100_adj,under_pressure_rate_adj,switch_rate_adj,cross_rate_adj,final_third_rate_adj,dribble_success_rate_adj,carry_per_100_adj,shot_assist_rate_adj,shot_per_100_adj,avg_xg_per_shot_adj,dribble_per_100_adj,shot_on_target_rate_adj
Kinga Szemik,Goalkeeper,UEFA Women's Euro,,,208,82.5,1,0.7955977421327453,0.2192210720458407,Goalkeeper,,,,,,,,,,,,,,,,
Cecilía Rán Rúnarsdóttir,Goalkeeper,UEFA Women's Euro,,,227,82.4,2,0.8270708115681767,0.2033223050114475,Goalkeeper,,,,,,,,,,,,,,,,
Catalina Thomas Coll Lluch,Goalkeeper,Women's World Cup,,,330,72.1,3,0.8370017840290976,0.1539407731178297,Goalkeeper,,,,,,,,,,,,,,,,
Predrag Rajković,Goalkeeper,UEFA Euro,,,233,68.9,4,0.6635082190528093,0.2270089069591554,Goalkeeper,,,,,,,,,,,,,,,,
Jasper Cillessen,Goalkeeper,La Liga,,,266,67.1,5,0.8495190670743549,0.1262919194954454,Goalkeeper,,,,,,,,,,,,,,,,
Marc-André ter Stegen,Goalkeeper,La Liga,,,9604,66.3,6,0.8592480938692499,0.1182433701295307,Goalkeeper,,,,,,,,,,,,,,,,
Mike Maignan,Goalkeeper,UEFA Euro,,,412,62.9,7,0.7168861210192262,0.1745972390302911,Goalkeeper,,,,,,,,,,,,,,,,
Alexander Nübel,Goalkeeper,1. Bundesliga,,,270,62.1,8,0.7858987436347961,0.1365689279931701,Goalkeeper,,,,,,,,,,,,,,,,
Ellie Roebuck,Goalkeeper,FA Women's Super League,,,3380,60.5,9,0.9309284401838376,0.0574447311008606,Goalkeeper,,,,,,,,,,,,,,,,
Lydia Grace Yilkari Williams,Goalkeeper,FA Women's Super League,,,1128,60.5,9,0.9137114823095782,0.06608981643111,Goalkeeper,,,,,,,,,,,,,,,,
Manuela Zinsberger,Goalkeeper,FA Women's Super League,,,2319,59.8,11,0.877651996304754,0.081022053056303,Goalkeeper,,,,,,,,,,,,,,,,
Bart Verbruggen,Goalkeeper,UEFA Euro,,,339,59.6,12,0.7822779000223059,0.1279599550204805,Goalkeeper,,,,,,,,,,,,,,,,
Nicky Evrard,Goalkeeper,UEFA Women's Euro,,,272,59.5,13,0.83251975731563,0.1023588682271151,Goalkeeper,,,,,,,,,,,,,,,,
Tinja-Riikka Tellervo Korpela,Goalkeeper,FA Women's Super League,,,1313,59.5,13,0.8696840699125301,0.0836323601639818,Goalkeeper,,,,,,,,,,,,,,,,
Diogo Meireles Costa,Goalkeeper,FIFA World Cup,,,480,58.7,15,0.7494150234725478,0.140239282418637,Goalkeeper,,,,,,,,,,,,,,,,
Alisson Ramsés Becker,Goalkeeper,FIFA World Cup,,,508,58.0,16,0.7991778272289618,0.1124437552620875,Goalkeeper,,,,,,,,,,,,,,,,
Manuel Neuer,Goalkeeper,1. Bundesliga,,,3047,57.1,17,0.8457820999624017,0.0854024912692268,Goalkeeper,,,,,,,,,,,,,,,,
Ayaka Yamashita,Goalkeeper,Women's World Cup,,,343,56.9,18,0.8687590176211936,0.0732685783401304,Goalkeeper,,,,,,,,,,,,,,,,
Norberto Murara Neto,Goalkeeper,La Liga,,,593,56.9,18,0.8452076898288459,0.085019464405625,Goalkeeper,,,,,,,,,,,,,,,,
Unai Simón Mendibil,Goalkeeper,UEFA Euro,,,1240,56.8,20,0.7602472426365768,0.1268114074283285,Goalkeeper,,,,,,,,,,,,,,,,
Patrick Pentz,Goalkeeper,UEFA Euro,,,246,56.5,21,0.7662622111842604,0.1224034915460566,Goalkeeper,,,,,,,,,,,,,,,,
Daniel Bachmann,Goalkeeper,UEFA Euro,,,250,56.3,22,0.7229897297779048,0.1431382222199353,Goalkeeper,,,,,,,,,,,,,,,,
Bárbara Micheline do Monte Barbosa,Goalkeeper,Women's World Cup,,,222,55.9,23,0.920465938921824,0.0429059745830312,Goalkeeper,,,,,,,,,,,,,,,,
Damián Emiliano Martínez,Goalkeeper,Copa America,,,655,55.7,24,0.7053269802904228,0.1494238635301989,Goalkeeper,,,,,,,,,,,,,,,,
Claudio Andrés Bravo Muñoz,Goalkeeper,La Liga,,,3688,55.6,25,0.7988651951142581,0.1021600563717984,Goalkeeper,,,,,,,,,,,,,,,,
Drake Callender,Goalkeeper,Major League Soccer,,,233,55.4,26,0.689433756710082,0.1558748934708779,Goalkeeper,,,,,,,,,,,,,,,,
Ann-Katrin Berger,Goalkeeper,FA Women's Super League,,,2948,55.1,27,0.8184954360001895,0.0903630789992364,Goalkeeper,,,,,,,,,,,,,,,,
Amrinder Singh,Goalkeeper,Indian Super league,,,1008,53.8,28,0.7832426363668328,0.1022546798009595,Goalkeeper,,,,,,,,,,,,,,,,
Carly Mitchell Telford,Goalkeeper,FA Women's Super League,,,914,53.7,29,0.8949490615979565,0.04617039792459,Goalkeeper,,,,,,,,,,,,,,,,
Gianluigi Donnarumma,Goalkeeper,Ligue 1,,,3546,53.1,30,0.791820075359202,0.0950939445828092,Goalkeeper,,,,,,,,,,,,,,,,
Kevin Trapp,Goalkeeper,Ligue 1,,,1392,53.0,31,0.8286379116372783,0.076272052213889,Goalkeeper,,,,,,,,,,,,,,,,
Alejandro Remiro Gargallo,Goalkeeper,La Liga,,,247,52.8,32,0.7759083267715211,0.101691438927918,Goalkeeper,,,,,,,,,,,,,,,,
José Manuel Pinto Colorado,Goalkeeper,La Liga,,,1050,52.7,33,0.793355837976994,0.092519464405625,Goalkeeper,,,,,,,,,,,,,,,,
Koen Casteels,Goalkeeper,1. Bundesliga,,,1065,50.1,34,0.7445472030185496,0.1057916170688003,Goalkeeper,,,,,,,,,,,,,,,,
Gaëlle Thalmann,Goalkeeper,Women's World Cup,,,432,48.8,35,0.8114523334796471,0.066715498392555,Goalkeeper,,,,,,,,,,,,,,,,
Andries Noppert,Goalkeeper,FIFA World Cup,,,284,48.7,36,0.7726825075399248,0.0857421845814592,Goalkeeper,,,,,,,,,,,,,,,,
Diego Orlando Benaglio,Goalkeeper,1. Bundesliga,,,1153,48.5,37,0.8102467092876329,0.0659967427752903,Goalkeeper,,,,,,,,,,,,,,,,
Mary Alexandra Earps,Goalkeeper,FA Women's Super League,,,2624,48.4,38,0.8126971850341533,0.0644244985640117,Goalkeeper,,,,,,,,,,,,,,,,
Dominik Livaković,Goalkeeper,FIFA World Cup,,,681,48.2,39,0.7373596454107799,0.1013326441509763,Goalkeeper,,,,,,,,,,,,,,,,
Josimar José Évora Dias,Goalkeeper,African Cup of Nations,,,298,48.2,39,0.6548037983338495,0.1425636568555802,Goalkeeper,,,,,,,,,,,,,,,,
Daphne van Domselaar,Goalkeeper,UEFA Women's Euro,,,576,47.7,41,0.7664437144954012,0.0845171061993066,Goalkeeper,,,,,,,,,,,,,,,,
Yassine Bounou,Goalkeeper,FIFA World Cup,,,710,47.7,41,0.6975549034303058,0.1191383159315435,Goalkeeper,,,,,,,,,,,,,,,,
Jacqueline Burns,Goalkeeper,UEFA Women's Euro,,,240,47.1,43,0.679561604357477,0.125206391074638,Goalkeeper,,,,,,,,,,,,,,,,
